ORIGEM,DESTINO,DISTANCIA
SBCY,SBPJ,1030.2346313671503
SBGO,SBPJ,710.3841547186377
SBSV,SBPJ,1129.869211345226
SBAR,SBPJ,1235.6135153049781
SBMO,SBPJ,1379.0041145862065
SBRF,SBPJ,1493.706461719384
SBJP,SBPJ,1514.5760487713378
SBSG,SBPJ,1515.5365729472414
SBFZ,SBPJ,1302.9048128971365
SBTE,SBPJ,842.9667719748975
SBSL,SBPJ,970.7976973477954
SBJC,SBPJ,990.904533347231
SBMQ,SBPJ,1188.77005581731
SBEG,SBPJ,1521.9522429627657
SBBV,SBPJ,1999.6620929098472
SBRB,SBPJ,2139.3410248364194
SBPV,SBPJ,1713.1385114946215
SBPA,SBJC,3194.017477857775
SBFL,SBJC,2923.2675658395315
SBCT,SBJC,2685.8325952617342
SBSP,SBJC,2481.1405312094553
SBGR,SBJC,2460.8775728248124
SBRJ,SBJC,2461.379912629923
SBGL,SBJC,2449.0103232416513
SBCF,SBJC,2087.7523121932354
SBVT,SBJC,2280.1826529683913
SBBR,SBJC,1611.912548738496
SBCG,SBJC,2224.687281094313
SBCY,SBJC,1793.900284728235
SBGO,SBJC,1697.0398931150128
SBSV,SBJC,1700.8454677213097
SBAR,SBJC,1651.2224139231232
SBMO,SBJC,1669.0344330135222
SBRF,SBJC,1678.0446198750217
SBJP,SBJC,1630.9684970514998
SBSG,SBJC,1533.6995256160044
SBFZ,SBJC,1135.765994012764
SBTE,SBJC,749.2129141894887
SBSL,SBJC,490.16763875829724
SBPJ,SBJC,990.904533347231
SBMQ,SBJC,328.83536344092744
SBEG,SBJC,1297.949555627627
SBBV,SBJC,1436.479292762526
SBRB,SBJC,2344.516689364585
SBPV,SBJC,1891.0434901606604
SBPA,SBMQ,3340.9030275140426
SBFL,SBMQ,3094.560562727469
SBCT,SBMQ,2851.6629618886755
SBSP,SBMQ,2675.6297212205923
SBGR,SBMQ,2657.6739611960056
SBRJ,SBMQ,2692.3716135177788
SBGL,SBMQ,2679.5355596687027
SBCF,SBMQ,2321.520360027794
SBVT,SBMQ,2545.292006212594
SBBR,SBMQ,1803.7180548124938
SBCG,SBMQ,2313.7471694068777
SBCY,SBMQ,1831.9073383683392
SBGO,SBMQ,1865.8088980281634
SBSV,SBMQ,2012.2834295849186
SBAR,SBMQ,1974.2969701971085
SBMO,SBMQ,1997.1200914662033
SBRF,SBMQ,2006.7054348659096
SBJP,SBMQ,1958.5413322645427
SBSG,SBMQ,1858.2517314569
SBFZ,SBMQ,1455.5452183449263
SBTE,SBMQ,1077.4418583452784
SBSL,SBMQ,813.8044894213648
SBPJ,SBMQ,1188.77005581731
SBJC,SBMQ,328.83536344092744
SBEG,SBMQ,1055.1688049055133
SBBV,SBMQ,1113.967482003234
SBRB,SBMQ,2164.1424817725983
SBPV,SBMQ,1723.2836602359318
SBPA,SBEG,3140.406047295591
SBFL,SBEG,2999.949481763201
SBCT,SBEG,2758.623012327554
SBSP,SBEG,2704.962340146671
SBGR,SBEG,2697.4990524527398
SBRJ,SBEG,2862.111595468443
SBGL,SBEG,2848.574647643207
SBCF,SBEG,2541.079282914487
SBVT,SBEG,2874.2699584654247
SBBR,SBEG,1949.1415122223495
SBCG,SBEG,2023.3983467634669
SBCY,SBEG,1467.5062245024462
SBGO,SBEG,1920.2207013448524
SBSV,SBEG,2628.3232146625373
SBAR,SBEG,2683.0502809228906
SBMO,SBEG,2774.1588369205097
SBRF,SBEG,2836.058133425077
SBJP,SBEG,2816.3142328229487
SBSG,SBEG,2751.9012848380194
SBFZ,SBEG,2388.468340814278
SBTE,SBEG,1923.3976275882076
SBSL,SBEG,1756.5434017858456
SBPJ,SBEG,1521.9522429627657
SBJC,SBEG,1297.949555627627
SBMQ,SBEG,1055.1688049055133
SBBV,SBEG,657.0110605256654
SBRB,SBEG,1152.902548988885
SBPV,SBEG,761.9777310689173
SBPA,SBBV,3788.8277880538594
SBFL,SBBV,3634.004480996778
SBCT,SBBV,3390.187473851417
SBSP,SBBV,3312.4995921937534
SBGR,SBBV,3302.6047135194717
SBRJ,SBBV,3437.102336811246
SBGL,SBBV,3423.553155344017
SBCF,SBBV,3095.8958183724862
SBVT,SBBV,3399.5410897329507
SBBR,SBBV,2510.3907540223368
SBCG,SBBV,2672.709872412314
SBCY,SBBV,2116.844780045348
SBGO,SBBV,2505.370940338086
